"","parameter","lower","median","upper"
"1","a",0.0036255844995851,0.00601811342969771,0.0130024628659566
"2","b",1326.10676392947,1453.88242574602,1571.78470831356
"3","c",0.0233119368813421,0.0636791874458101,0.118039516357609
"4","p_zero",0.429110233038879,0.472581434660209,0.517637574479397
