"","parameter","lower","median","upper"
"1","a",0.00444299568703953,0.00649237002009356,0.0170583733564233
"2","b",1424.22630802263,1531.20825027039,1637.82093089852
"3","c",0.000370356441712808,0.0100789763359179,0.0550922796054727
"4","p_zero",0.363165582696814,0.404881863793002,0.446662306292183
