"","parameter","lower","median","upper"
"1","a",0.00346530041574775,0.00537842565538099,0.0105765811975062
"2","b",1566.19701787875,1693.38227764361,1816.01731371012
"3","c",0.00382295831007962,0.038221573569783,0.0948329086606141
"4","p_zero",0.444369502464227,0.486046933555981,0.531728960863065
