"","parameter","lower","median","upper"
"1","a",0.00263884083306521,0.00396502241649821,0.00658806983960535
"2","b",1454.20525575627,1604.73642688794,1753.96163161651
"3","c",0.00367226793190132,0.0426215573337562,0.114371037677821
"4","p_zero",0.424610625959627,0.470417579764986,0.516933886956235
